--------- beginning of /dev/log/system
03-24 22:31:00.153 I/SystemServer(  380): UpdateLock Service
03-24 22:31:00.163 I/ActivityManager(  380): Config changed: {1.0 0mcc0mnc zh_CN sw360dp w360dp h620dp nrml long port ?uimode ?night finger -keyb/v/h -nav/h s.3}
03-24 22:31:00.223 I/SystemServer(  380): Notification Manager
03-24 22:31:00.233 I/SystemServer(  380): Device Storage Monitor
03-24 22:31:00.253 I/SystemServer(  380): Location Manager
03-24 22:31:00.253 I/SystemServer(  380): Country Detector
03-24 22:31:00.253 I/SystemServer(  380): Search Service
03-24 22:31:00.253 I/SystemServer(  380): DropBox Service
03-24 22:31:00.253 I/SystemServer(  380): Wallpaper Service
03-24 22:31:00.253 I/SystemServer(  380): Audio Service
03-24 22:31:00.423 I/SystemServer(  380): Dock Observer
03-24 22:31:00.423 W/DockObserver(  380): This kernel does not have dock station support
03-24 22:31:00.423 I/SystemServer(  380): Wired Accessory Observer
03-24 22:31:00.423 I/SystemServer(  380): USB Service
03-24 22:31:00.423 I/SystemServer(  380): Serial Service
03-24 22:31:00.423 I/SystemServer(  380): UI Mode Manager Service
03-24 22:31:00.423 I/SystemServer(  380): Backup Service
03-24 22:31:00.493 V/BackupManagerService(  380): Initializing package tracking
03-24 22:31:00.493 V/BackupManagerService(  380): No ancestral data
03-24 22:31:00.543 V/BackupManagerService(  380): addPackageParticipantsLocked: all
03-24 22:31:00.543 I/BackupManagerService(  380): New app android never backed up; scheduling
03-24 22:31:00.543 D/BackupManagerService(  380): Now staging backup of android
03-24 22:31:00.553 I/BackupManagerService(  380): New app com.android.browser never backed up; scheduling
03-24 22:31:00.553 D/BackupManagerService(  380): Now staging backup of com.android.browser
03-24 22:31:00.553 I/BackupManagerService(  380): New app com.android.calendar never backed up; scheduling
03-24 22:31:00.553 D/BackupManagerService(  380): Now staging backup of com.android.calendar
03-24 22:31:00.563 I/BackupManagerService(  380): New app com.android.providers.settings never backed up; scheduling
